CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,IRQ_DS,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF24,AF35
PE2,14,2,AN0,,,,MTIOC4A,,TIOCA9,,,PO23,,,,,,,SSLB3,MOSIB,,,,,,,
PE3,14,3,AN1,,,,MTIOC4B,,TIOCB9,,,PO26,POE8#,,,,,,MISOB,,,,ET_ERXD3,,,,
PE4,14,4,AN2,,,,MTIOC4D,MTIOC1A,TIOCA10,,,PO28,,,,,,,SSLB0,,,,ET_ERXD2,,,,
PE5,14,5,AN3,IRQ5,,,MTIOC4C,MTIOC2B,TIOCB10,,,,,,,,,,RSPCKB,,,,ET_RX_CLK,REF50CK,,,
PE6,14,6,AN4,IRQ6,,,,,TIOCA11,,,,,,,,,,MOSIB,,,,,,,,
PE7,14,7,AN5,IRQ7,,,,,TIOCB11,,,,,,,,,,MISOB,,,,,,,,
PF0,15,0,,,,,,,,,,,,,,TXD1/SMOSI1/SSDA1,,,,,,,,,,,
PF1,15,1,,,,,,,,,,,,,,SCK1,,,,,,,,,,,
PF2,15,2,,,,,,,,,,,,,,RXD1/SMISO1/SSCL1,,,,,,,,,,,
PF3,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
PF4,15,4,,,,,,,,,,,,,,,,,,,,,,,,,
PF5,15,5,,IRQ4,,,,,,,,,,,,,,,,,,,,,,,
PF6,15,6,,,,,,,,,,,,,,,,,,,,,,,,,
PF7,15,7,,,,,,,,,,,,,,,,,,,,,,,,,
PG0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,
PG1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,
PG2,16,2,,,,,,,,,,,,,,,,,,,,,,,,,
PG3,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
PG4,16,4,,,,,,,,,,,,,,,,,,,,,,,,,
PG5,16,5,,,,,,,,,,,,,,,,,,,,,,,,,
PG6,16,6,,,,,,,,,,,,,,,,,,,,,,,,,
PG7,16,7,,,,,,,,,,,,,,,,,,,,,,,,,
PJ0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,
PJ1,18,1,,,,,,,,,,,,,,,,,,,,,,,,,
PJ2,18,2,,,,,,,,,,,,,,,,,,,,,,,,,
PJ3,18,3,,,,,MTIOC3C,,,,,,,,,CTS6#/RTS6#/SS6#,CTS0#/RTS0#/SS0#,,,,,,,,,,
PJ4,18,4,,,,,,,,,,,,,,,,,,,,,,,,,
PJ5,18,5,,,,,,,,,,,,,,,,,,,,,,,,,
PJ6,18,6,,,,,,,,,,,,,,,,,,,,,,,,,
PJ7,18,7,,,,,,,,,,,,,,,,,,,,,,,,,
